127.0.0.1, 2017-04-15 19:25:01, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2017-04-15 19:26:33, POST, /admin/default/edit/RPSOnline/views/default/index.html, HTTP/1.1, 200, 0.060000
127.0.0.1, 2017-04-15 19:26:33, GET, /admin/default/index, HTTP/1.1, 303, 0.017000
127.0.0.1, 2017-04-15 19:26:33, GET, /admin/default/site, HTTP/1.1, 200, 0.142000
127.0.0.1, 2017-04-15 19:26:34, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-15 19:26:36, GET, /RPSOnline/default/index, HTTP/1.1, 200, 0.431000
127.0.0.1, 2017-04-15 19:26:36, GET, /RPSOnline/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-15 19:42:29, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2017-04-15 19:42:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.151000
127.0.0.1, 2017-04-15 19:42:31, GET, /admin/default/site, HTTP/1.1, 200, 0.107000
127.0.0.1, 2017-04-15 19:42:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-24 22:58:32, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.694000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.026000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.043000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.037000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.085000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.088000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.070000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.126000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-24 22:58:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/default/site, HTTP/1.1, 303, 0.267000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/default/index, HTTP/1.1, 200, 0.116000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.018000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.075000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.103000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2017-04-24 22:58:35, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-24 22:58:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-24 22:58:39, POST, /admin/default/index, HTTP/1.1, 200, 1.057000
127.0.0.1, 2017-04-24 22:58:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-24 22:58:45, POST, /admin/default/index, HTTP/1.1, 200, 2.048000
127.0.0.1, 2017-04-24 22:58:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-24 22:58:55, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2017-04-24 22:58:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.034000
127.0.0.1, 2017-04-24 22:58:57, GET, /admin/default/site, HTTP/1.1, 303, 0.008000
127.0.0.1, 2017-04-24 22:58:57, GET, /admin/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2017-04-24 22:58:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-24 22:59:00, POST, /admin/default/index, HTTP/1.1, 303, 0.041000
127.0.0.1, 2017-04-24 22:59:00, GET, /admin/default/site, HTTP/1.1, 200, 0.062000
127.0.0.1, 2017-04-24 22:59:00, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-24 22:59:00, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-24 22:59:00, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-24 22:59:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-24 22:59:01, POST, /admin/default/check_version, HTTP/1.1, 200, 0.823000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/default/index, HTTP/1.1, 200, 0.226000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.025000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.039000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/js/web2py.js, HTTP/1.1, 200, 0.037000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/js/calendar.js, HTTP/1.1, 200, 0.073000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/js/jquery.js, HTTP/1.1, 200, 0.075000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.067000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/images/background.jpg, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/images/facebook.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/images/gplus-32.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-24 22:59:03, GET, /RPSOnline/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-04-24 22:59:05, GET, /admin/default/site, HTTP/1.1, 200, 0.051000
127.0.0.1, 2017-04-24 22:59:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-24 22:59:07, GET, /admin/default/design/RPSOnline, HTTP/1.1, 200, 0.240000
127.0.0.1, 2017-04-24 22:59:07, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-24 22:59:07, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-04-24 22:59:07, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-24 22:59:07, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-24 22:59:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/default/edit/RPSOnline/models/db.py, HTTP/1.1, 200, 0.092000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.030000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.052000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.026000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.033000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.155000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.043000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.053000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.028000

127.0.0.1, 2017-04-24 22:59:09, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.093000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.095000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-04-24 22:59:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.217000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/default/edit/RPSOnline/models/db.py, HTTP/1.1, 200, 0.240000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.230000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.332000
127.0.0.1, 2017-04-24 22:59:10, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.086000
127.0.0.1, 2017-04-24 22:59:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.306000
127.0.0.1, 2017-04-24 22:59:10, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 200, 0.618000
127.0.0.1, 2017-04-24 23:30:14, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2017-04-24 23:30:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.135000
127.0.0.1, 2017-04-24 23:30:17, GET, /admin/default/site, HTTP/1.1, 303, 0.068000
127.0.0.1, 2017-04-24 23:30:17, GET, /admin/default/index, HTTP/1.1, 200, 0.037000
127.0.0.1, 2017-04-24 23:30:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-24 23:30:19, POST, /admin/default/index, HTTP/1.1, 303, 0.041000
127.0.0.1, 2017-04-24 23:30:19, GET, /admin/default/site, HTTP/1.1, 200, 0.049000
127.0.0.1, 2017-04-24 23:30:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-24 23:30:20, POST, /admin/default/check_version, HTTP/1.1, 200, 0.623000
127.0.0.1, 2017-04-24 23:30:23, GET, /admin/default/design/RPSOnline, HTTP/1.1, 200, 0.149000
127.0.0.1, 2017-04-24 23:30:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-24 23:30:25, GET, /admin/default/edit/RPSOnline/models/db.py, HTTP/1.1, 200, 0.052000
127.0.0.1, 2017-04-24 23:30:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-24 23:30:26, GET, /admin/default/edit/RPSOnline/models/db.py, HTTP/1.1, 200, 0.205000
127.0.0.1, 2017-04-24 23:30:26, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.209000
127.0.0.1, 2017-04-24 23:30:26, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.222000
127.0.0.1, 2017-04-24 23:30:26, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.270000
127.0.0.1, 2017-04-24 23:30:26, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.063000
127.0.0.1, 2017-04-24 23:30:26, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 200, 0.397000
127.0.0.1, 2017-04-24 23:31:08, GET, /Release1_0/appadmin/hooks, HTTP/1.1, 404, 0.002000
127.0.0.1, 2017-04-24 23:31:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079000
127.0.0.1, 2017-04-24 23:31:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057000
127.0.0.1, 2017-04-24 23:31:09, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 200, 1.341000
127.0.0.1, 2017-04-24 23:31:10, POST, /admin/default/edit/RPSOnline/models/db.py, HTTP/1.1, 200, 0.088000
127.0.0.1, 2017-04-24 23:31:21, POST, /admin/default/edit/RPSOnline/models/db.py, HTTP/1.1, 200, 0.054000
127.0.0.1, 2017-04-24 23:31:26, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056000
127.0.0.1, 2017-04-24 23:31:27, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 500, 1.316000
127.0.0.1, 2017-04-24 23:31:31, GET, /admin/default/edit/RPSOnline/controllers/default.py, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-04-24 23:31:31, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.016000
127.0.0.1, 2017-04-24 23:32:08, GET, /Release1_0/appadmin/hooks, HTTP/1.1, 404, 0.001000
127.0.0.1, 2017-04-24 23:32:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055000
127.0.0.1, 2017-04-24 23:32:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079000
127.0.0.1, 2017-04-24 23:32:09, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 500, 0.943000
127.0.0.1, 2017-04-24 23:32:26, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-04-24 23:32:26, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 500, 0.202000
127.0.0.1, 2017-04-24 23:32:37, POST, /admin/default/edit/RPSOnline/controllers/default.py, HTTP/1.1, 200, 0.055000
127.0.0.1, 2017-04-24 23:33:08, GET, /Release1_0/appadmin/hooks, HTTP/1.1, 404, 0.003000
127.0.0.1, 2017-04-24 23:33:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056000
127.0.0.1, 2017-04-24 23:33:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.100000
127.0.0.1, 2017-04-24 23:33:09, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 500, 0.971000
127.0.0.1, 2017-04-24 23:33:26, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052000
127.0.0.1, 2017-04-24 23:33:27, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 500, 0.941000
127.0.0.1, 2017-04-24 23:33:42, POST, /admin/default/edit/RPSOnline/controllers/default.py, HTTP/1.1, 200, 0.069000
127.0.0.1, 2017-04-24 23:34:08, GET, /Release1_0/appadmin/hooks, HTTP/1.1, 404, 0.023000
127.0.0.1, 2017-04-24 23:34:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055000
127.0.0.1, 2017-04-24 23:34:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.119000
127.0.0.1, 2017-04-24 23:34:09, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 500, 0.947000
127.0.0.1, 2017-04-24 23:34:26, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055000
127.0.0.1, 2017-04-24 23:34:26, GET, /RPSOnline/appadmin/hooks, HTTP/1.1, 500, 0.233000
127.0.0.1, 2017-04-24 23:34:30, GET, /admin/default/index, HTTP/1.1, 303, 0.015000
127.0.0.1, 2017-04-24 23:34:30, GET, /admin/default/site, HTTP/1.1, 200, 0.099000
127.0.0.1, 2017-04-24 23:34:30, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2017-04-24 23:34:34, GET, /admin/default/design/RPSOnline, HTTP/1.1, 200, 0.103000
127.0.0.1, 2017-04-24 23:34:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-24 23:34:50, POST, /admin/default/create_file, HTTP/1.1, 303, 0.060000
127.0.0.1, 2017-04-24 23:34:51, GET, /admin/default/design/RPSOnline, HTTP/1.1, 200, 0.321000
127.0.0.1, 2017-04-24 23:34:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
